"outcome","omitted","MD","CI_lb","CI_ub","p_HKSJ","tau2","I2"
"Fat","SURMOUNT-1",-3.47491286072537,-7.45907325169311,0.50924753024237,0.0692400118723319,5.03659891606077,84.4253889877929
"Fat","STEP-1",-4.90545936511941,-12.8378977254515,3.02697899521267,0.143720933803845,23.3102842221488,96.1902224298013
"Fat","SUSTAIN-8",-6.46804051154013,-13.1015321475394,0.165451124459114,0.0531679879283532,15.7401995346079,91.8011889259042
"Fat","LEAD-2",-5.76993867223288,-13.7198277453194,2.17995040085362,0.104051644189964,23.5819761045137,94.9562894478945
"Fat","LEAD-3",-5.79190100328372,-13.6782272722042,2.0944252656368,0.101474224621479,23.248050085742,95.9301703405924
