outcome,MD,SE,df_Satterthwaite,p,CI_lb,CI_ub,clusters
Lean,-2.486604827292365,0.6927967700343227,2.7384818583337998,0.04290762680359586,-4.815428098086551,-0.1577815564981786,4
Fat,-5.287476238742803,2.1122077225214775,2.6467391445266446,0.09870275743742109,-12.54665758507539,1.9717051075897851,4
