"outcome","omitted","MD","CI_lb","CI_ub","p_HKSJ","tau2","I2"
"Lean","SURMOUNT-1",-1.99590028912186,-4.1147267316101,0.122926153366369,0.0577694742647591,1.39861983741943,79.1109832417679
"Lean","STEP-1",-2.25306952681985,-4.98272432121601,0.476585267576317,0.0785403833889343,2.57030767177774,87.9491219891996
"Lean","SUSTAIN-8",-2.99483218791497,-5.21934825562012,-0.770316120209823,0.0233640016238056,1.35434344403447,74.9297012765423
"Lean","LEAD-2",-2.40118620777939,-5.28495817789097,0.482585762332185,0.0770018136734936,2.8983903517677,88.5360731102523
"Lean","LEAD-3",-2.8100332779795,-5.28375205269497,-0.336314503264021,0.0363722619862994,2.16464226061028,87.3106677954296
