"analysis","k","MD","CI_lb","CI_ub","PI_lb","PI_ub","tau2","I2","p_HKSJ"
"Lean, k=5 (as submitted)",5,-2.48660482729237,-4.44576340091904,-0.527446253665694,-6.9705457503564,1.99733609577167,2.11028251702291,85.334706957364,0.0243636902497575
"Lean, k=4 (STEP-1 excluded)",4,-2.25306952681985,-4.98272432121601,0.476585267576317,-8.03951922542296,3.53338017178327,2.57030767177774,87.9491219891996,0.0785403833889343
"Fat, k=5 (as submitted)",5,-5.2874762387428,-10.7826524882506,0.20770001076504,-18.3247044844723,7.74975200698673,18.1318914542629,94.5690924432872,0.0557186806907699
"Fat, k=4 (STEP-1 excluded)",4,-4.90545936511941,-12.8378977254515,3.02697899521267,-22.1973450084286,12.3864262781898,23.3102842221488,96.1902224298013,0.143720933803845
