outcome,omitted,MD,SE,CI_lb,CI_ub,p_HKSJ,tau2,I2
Fat,SURMOUNT-1,-3.4749128607253725,1.2519175529695423,-7.459073251693114,0.5092475302423698,0.0692400118723319,5.036598916060771,84.42538898779286
Fat,STEP-1,-4.905459365119409,2.4925599992565832,-12.837897725451487,3.0269789952126693,0.1437209338038449,23.31028422214883,96.1902224298013
Fat,SUSTAIN-8,-6.468040511540129,2.084400175106137,-13.101532147539372,0.16545112445911414,0.05316798792835323,15.740199534607854,91.80118892590423
Fat,LEAD-2,-5.769938672232878,2.4980434264947586,-13.719827745319378,2.179950400853623,0.10405164418996417,23.581976104513707,94.95628944789452
Fat,LEAD-3,-5.791901003283716,2.478070488047862,-13.678227272204232,2.0944252656368,0.10147422462147938,23.24805008574198,95.93017034059243
