level,lean_pct,fat_per_kg_lean
Pooled overall (k=5),31.9858360900853,2.1263838068312104
Pooled T2D (k=3),38.5550812206765,1.593691851604025
Pooled obesity (k=2),29.048834570054506,2.4424788973491807
Trial: SURMOUNT-1,26.347305389221553,2.795454545454546
Trial: STEP-1,32.91746641074857,2.0379008746355676
Trial: SUSTAIN-8,49.681528662420384,1.0128205128205128
Trial: LEAD-2,44.36042848141147,1.2542613636363638
Trial: LEAD-3,22.11427249595188,3.521966527196654
