method,tau2,tau,mu,ci_lb,ci_ub,p
DL,2.4291,1.5586,-2.486,-3.964,-1.009,9.8e-4
REML,2.1103,1.4527,-2.487,-3.879,-1.095,4.6e-4
PM,2.0783,1.4416,-2.487,-3.87,-1.104,4.3e-4
ML,1.6198,1.2727,-2.487,-3.735,-1.238,9.5e-5
EB,2.0783,1.4416,-2.487,-3.87,-1.104,4.3e-4
SJ,2.0629,1.4363,-2.487,-3.865,-1.108,4.1e-4
